REF_DATE,GEO,DGUID,Products,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017-11,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,4.82,,,,2
2017-12,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,4.88,,,,2
2018-01,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.17,,,,2
2018-02,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,4.92,,,,2
2018-03,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.29,,,,2
2018-04,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.21,,,,2
2018-05,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.38,,,,2
2018-06,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.20,,,,2
2018-07,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.25,,,,2
2018-08,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,4.79,,,,2
2018-09,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.34,,,,2
2018-10,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.09,,,,2
2018-11,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,4.72,,,,2
2018-12,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.22,,,,2
2019-01,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.46,,,,2
2019-02,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.09,,,,2
2019-03,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.32,,,,2
2019-04,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.14,,,,2
2019-05,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.31,,,,2
2019-06,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.65,,,,2
2019-07,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.20,,,,2
2019-08,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.26,,,,2
2019-09,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,4.74,,,,2
2019-10,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.45,,,,2
2019-11,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.21,,,,2
2019-12,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.59,,,,2
2020-01,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.56,,,,2
2020-02,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.89,,,,2
2020-03,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.86,,,,2
2020-04,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,6.02,,,,2
2020-05,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,6.07,,,,2
2020-06,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,6.08,,,,2
2020-07,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.61,,,,2
2020-08,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.62,,,,2
2020-09,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.92,,,,2
2020-10,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.93,,,,2
